datasetId	role	filePath	originalFilename	byteLength	sha256	origin	toolAndVersion	licenseId	licensePath	parentId	derivation	coverageTags	expectationId
gdal-zone-v-l0-complete	GENERATED	data/gdal-zone-v-l0-complete/w001/s81.dt0	s81.dt0	8762	9b0f2d2d0b1fdeefb2e551fee98c4fac2da88141dc0fd02e712840fc9508c802	Project-owned deterministic G9-006 zone-V elevation formula; no downloaded terrain	GDAL 3.13.0; ghcr.io/osgeo/gdal:ubuntu-full-3.13.0; linux/amd64@sha256:fd205102ddfaa537e18dac37a9f648e79989e99a4e6f6a2375e5f7e0e511616c	BSD-3-Clause	licenses/BSD-3-Clause.txt		generate:recipes/gdal-3.13.0-zone-v.sh	checksum,complete,level0,negative-elevation,positive-elevation,southern-cell,western-cell,zero-elevation,zone-v	expect-gdal-zone-v-l0-complete
gdal-zone-v-l1-complete	GENERATED	data/gdal-zone-v-l1-complete/w001/s81.dt1	s81.dt1	488642	ba2b8033ee4942989ec9acb916f95fffc88f054c3e9917145b4e613978db5c4f	Project-owned deterministic G9-006 zone-V elevation formula; no downloaded terrain	GDAL 3.13.0; ghcr.io/osgeo/gdal:ubuntu-full-3.13.0; linux/amd64@sha256:fd205102ddfaa537e18dac37a9f648e79989e99a4e6f6a2375e5f7e0e511616c	BSD-3-Clause	licenses/BSD-3-Clause.txt		generate:recipes/gdal-3.13.0-zone-v.sh	checksum,complete,level1,negative-elevation,positive-elevation,southern-cell,western-cell,zero-elevation,zone-v	expect-gdal-zone-v-l1-complete
gdal-zone-v-l2-partial	GENERATED	data/gdal-zone-v-l2-partial/w001/s81.dt2	s81.dt2	4339042	4d0511dd1551b05449ee9a60a4849e3baf132bcff64438f242aebfbaf126e58d	Project-owned deterministic G9-006 zone-V elevation formula; no downloaded terrain	GDAL 3.13.0; ghcr.io/osgeo/gdal:ubuntu-full-3.13.0; linux/amd64@sha256:fd205102ddfaa537e18dac37a9f648e79989e99a4e6f6a2375e5f7e0e511616c	BSD-3-Clause	licenses/BSD-3-Clause.txt		generate:recipes/gdal-3.13.0-zone-v.sh	checksum,level2,negative-elevation,partial,positive-elevation,southern-cell,void,western-cell,zero-elevation,zone-v	expect-gdal-zone-v-l2-partial
